Time,Dynasan116,Tween80,Water,ParticleSize,PolyDispersityIndex,ZetaPotential
2,10,10,80,432.123,0.257,-11.213
2,10,10,80,434.254,0.256,-11.602
2,10,10,80,432.328,0.256,-11.356
2,10,9,81,452.256,0.221,-11.125
2,10,9,81,453.348,0.222,-13.986
2,10,9,81,452.295,0.222,-11.236
2,10,8,82,500.102,0.275,-11.365
2,10,8,82,498.125,0.275,-12.284
2,10,8,82,498.263,0.276,-11.456
2,9,10,81,416.002,0.225,-11.247
2,9,10,81,421.165,0.227,-11.162
2,9,10,81,419.495,0.225,-11.691
2,9,9,82,433.365,0.226,-12.369
2,9,9,82,439.587,0.225,-11.285
2,9,9,82,438.262,0.225,-11.347
2,9,8,83,467.001,0.252,-12.254
2,9,8,83,461.364,0.252,-12.227
2,9,8,83,465.824,0.25,-13.367
2,8,10,82,404.789,0.246,-11.246
2,8,10,82,406.154,0.246,-14.078
2,8,10,82,406.409,0.247,-13.147
2,8,9,83,419.564,0.256,-11.547
2,8,9,83,417.678,0.254,-10.541
2,8,9,83,419.658,0.254,-13.617
2,8,8,84,421.126,0.232,-11.697
2,8,8,84,423.658,0.231,-11.922
2,8,8,84,421.168,0.23,-13.698
2,7,10,83,385.278,0.252,-11.749
2,7,10,83,387.987,0.252,-12.248
2,7,10,83,385.681,0.256,-11.125
2,7,9,84,398.632,0.284,-11.268
2,7,9,84,396.487,0.286,-13.368
2,7,9,84,397.973,0.283,-11.325
2,7,8,85,398.514,0.244,-11.987
2,7,8,85,401.974,0.244,-11.528
2,7,8,85,402.854,0.246,-11.245
4,10,10,80,389.984,0.231,-13.012
4,10,10,80,387.154,0.232,-11.885
4,10,10,80,387.254,0.232,-11.325
4,10,9,81,401.548,0.376,-13.019
4,10,9,81,402.168,0.374,-13.125
4,10,9,81,401.278,0.375,-11.215
4,10,8,82,415.245,0.226,-13.079
4,10,8,82,415.102,0.228,-11.721
4,10,8,82,416.045,0.226,-11.147
4,9,10,81,376.325,0.217,-12.156
4,9,10,81,374.369,0.218,-12.072
4,9,10,81,375.098,0.217,-11.365
4,9,9,82,372.298,0.226,-12.168
4,9,9,82,373.159,0.227,-12.028
4,9,9,82,373.103,0.223,-11.247
4,9,8,83,383.254,0.239,-12.396
4,9,8,83,383.658,0.237,-13.947
4,9,8,83,384.197,0.237,-11.754
4,8,10,82,365.278,0.236,-11.547
4,8,10,82,367.168,0.236,-12.267
4,8,10,82,368.324,0.235,-11.354
4,8,9,83,351.514,0.226,-11.364
4,8,9,83,351.621,0.229,-12.914
4,8,9,83,353.561,0.228,-12.356
4,8,8,84,375.698,0.263,-11.786
4,8,8,84,373.504,0.263,-11.092
4,8,8,84,373.029,0.261,-12.247
4,7,10,83,333.225,0.245,-11.352
4,7,10,83,334.637,0.244,-11.461
4,7,10,83,334.195,0.244,-12.098
4,7,9,84,342.315,0.259,-11.321
4,7,9,84,343.11,0.261,-13.021
4,7,9,84,344.072,0.262,-12.014
4,7,8,85,360.468,0.242,-11.254
4,7,8,85,361.367,0.241,-13.534
4,7,8,85,361.207,0.242,-12.168
6,10,10,80,325.632,0.229,-11.256
6,10,10,80,324.106,0.229,-12.921
6,10,10,80,325.525,0.231,-11.321
6,10,9,81,347.189,0.266,-11.362
6,10,9,81,347.169,0.264,-13.732
6,10,9,81,348.429,0.265,-12.457
6,10,8,82,363.167,0.246,-11.715
6,10,8,82,365.177,0.245,-12.162
6,10,8,82,364.916,0.245,-13.012
6,9,10,81,320.148,0.294,-11.328
6,9,10,81,320.362,0.294,-12.446
6,9,10,81,321.139,0.291,-13.115
6,9,9,82,343.254,0.224,-11.218
6,9,9,82,343.303,0.223,-13.826
6,9,9,82,343.919,0.226,-13.015
6,9,8,83,352.621,0.274,-11.964
6,9,8,83,353.568,0.271,-13.724
6,9,8,83,352.802,0.272,-13.117
6,8,10,82,314.357,0.222,-11.323
6,8,10,82,314.145,0.221,-11.053
6,8,10,82,315.097,0.222,-11.987
6,8,9,83,338.248,0.275,-11.225
6,8,9,83,339.111,0.276,-11.691
6,8,9,83,339.068,0.274,-12.542
6,8,8,84,348.614,0.226,-11.657
6,8,8,84,347.967,0.225,-11.715
6,8,8,84,348.245,0.223,-12.278
6,7,10,83,301.315,0.221,-11.517
6,7,10,83,304.678,0.221,-11.226
6,7,10,83,305.743,0.223,-12.359
6,7,9,84,304.218,0.232,-11.378
6,7,9,84,305.687,0.231,-12.084
6,7,9,84,305.714,0.23,-12.214
6,7,8,85,307.487,0.241,-11.258
6,7,8,85,306.125,0.245,-11.381
6,7,8,85,305.764,0.46,-12.547
8,10,10,80,324.697,0.219,-11.214
8,10,10,80,324.567,0.218,-12.365
8,10,10,80,323.125,0.218,-12.546
8,10,9,81,343.657,0.221,-11.257
8,10,9,81,342.102,0.22,-12.215
8,10,9,81,342.169,0.219,-12.347
8,10,8,82,352.365,0.223,-11.325
8,10,8,82,353.347,0.221,-12.965
8,10,8,82,352.368,0.221,-12.016
8,9,10,81,315.145,0.22,-11.236
8,9,10,81,312.119,0.223,-11.887
8,9,10,81,312.598,0.222,-12.014
8,9,9,82,335.912,0.221,-11.741
8,9,9,82,335.325,0.225,-12.213
8,9,9,82,333.574,0.224,-12.168
8,9,8,83,344.159,0.222,-11.621
8,9,8,83,345.001,0.223,-11.678
8,9,8,83,344.604,0.226,-11.645
8,8,10,82,300.154,0.226,-11.519
8,8,10,82,300.005,0.224,-11.697
8,8,10,82,302.309,0.225,-11.715
8,8,9,83,333.251,0.227,-11.697
8,8,9,83,332.367,0.228,-11.218
8,8,9,83,332.214,0.23,-11.254
8,8,8,84,341.188,0.225,-11.854
8,8,8,84,345.254,0.223,-11.654
8,8,8,84,340.358,0.221,-11.651
8,7,10,83,289.647,0.225,-11.365
8,7,10,83,287.327,0.226,-11.916
8,7,10,83,285.325,0.229,-11.147
8,7,9,84,289.271,0.226,-11.562
8,7,9,84,286.647,0.227,-11.731
8,7,9,84,286.874,0.223,-12.617
8,7,8,85,301.157,0.221,-12.325
8,7,8,85,300.247,0.228,-11.654
8,7,8,85,297.697,0.229,-14.249
10,10,10,80,306.175,0.221,-12.652
10,10,10,80,303.617,0.225,-11.327
10,10,10,80,305.545,0.256,-12.197
10,10,9,81,311.157,0.222,-12.125
10,10,9,81,310.249,0.224,-12.311
10,10,9,81,310.504,0.226,-12.056
10,10,8,82,321.153,0.225,-12.165
10,10,8,82,318.198,0.223,-12.328
10,10,8,82,320.978,0.224,-11.223
10,9,10,81,303.754,0.211,-12.268
10,9,10,81,303.247,0.215,-11.217
10,9,10,81,304.005,0.214,-11.401
10,9,9,82,307.489,0.214,-12.568
10,9,9,82,307.615,0.216,-11.697
10,9,9,82,306.098,0.213,-11.326
10,9,8,83,311.698,0.213,-12.567
10,9,8,83,308.105,0.213,-11.245
10,9,8,83,309.157,0.214,-12.512
10,8,10,82,296.347,0.211,-11.987
10,8,10,82,295.325,0.215,-11.647
10,8,10,82,295.325,0.214,-12.325
10,8,9,83,301.179,0.214,-11.986
10,8,9,83,300.158,0.214,-11.541
10,8,9,83,300.015,0.213,-12.168
10,8,8,84,305.157,0.215,-11.988
10,8,8,84,303.325,0.215,-11.018
10,8,8,84,304.069,0.214,-13.163
10,7,10,83,265.167,0.199,-11.659
10,7,10,83,262.125,0.202,-11.145
10,7,10,83,263.347,0.209,-11.036
10,7,9,84,272.157,0.201,-11.621
10,7,9,84,271.198,0.206,-11.168
10,7,9,84,268.578,0.205,-11.096
10,7,8,85,283.019,0.205,-11.594
10,7,8,85,282.015,0.204,-11.251
10,7,8,85,282.056,0.206,-11.164
